"UID","PID","LEGTYPE","CHAMBER","STATECODE","DISTRICT","DISTRAIL","FIRSTNAME","LASTNAME","MIDNAME","PREFIX","GENSUFFIX","TITLE","COMCODE1","COMOFFC1","COMRANK1","SUBCODE11","SUBCOMOFF11","SUBRANK11","SUBCODE12","SUBCOMOFF12","SUBRANK12","SUBCODE13","SUBCOMOFF13","SUBRANK13","SUBCODE14","SUBCOMOFF14","SUBRANK14","SUBCODE15","SUBCOMOFF15","SUBRANK15","COMCODE2","COMOFFC2","COMRANK2","SUBCODE21","SUBCOMOFF21","SUBRANK21","SUBCODE22","SUBCOMOFF22","SUBRANK22","SUBCODE23","SUBCOMOFF23","SUBRANK23","SUBCODE24","SUBCOMOFF24","SUBRANK24","SUBCODE25","SUBCOMOFF25","SUBRANK25","COMCODE3","COMOFFC3","COMRANK3","SUBCODE31","SUBCOMOFF31","SUBRANK31","SUBCODE32","SUBCOMOFF32","SUBRANK32","SUBCODE33","SUBCOMOFF33","SUBRANK33","SUBCODE34","SUBCOMOFF34","SUBRANK34","SUBCODE35","SUBCOMOFF35","SUBRANK35","COMCODE4","COMOFFC4","COMRANK4","SUBCODE41","SUBCOMOFF41","SUBRANK41","SUBCODE42","SUBCOMOFF42","SUBRANK42","SUBCODE43","SUBCOMOFF43","SUBRANK43","SUBCODE44","SUBCOMOFF44","SUBRANK44","SUBCODE45","SUBCOMOFF45","SUBRANK45","COMCODE5","COMOFFC5","COMRANK5","SUBCODE51","SUBCOMOFF51","SUBRANK51","SUBCODE52","SUBCOMOFF52","SUBRANK52","SUBCODE53","SUBCOMOFF53","SUBRANK53","SUBCODE54","SUBCOMOFF54","SUBRANK54","SUBCODE55","SUBCOMOFF55","SUBRANK55","COMCODE6","COMOFFC6","COMRANK6","COMCODE7","COMOFFC7","COMRANK7","COMCODE8","COMOFFC8","COMRANK8","COMCODE9","COMOFFC9","COMRANK9","CUMCOMCODE","CUMSUBCODE"
21757,283914,"FL","H","AR","01","","Rick","Crawford","","Rep.","","US Representative","HAGR","","R009","HAGR20","CHM","R001","HAGR30","","R003","","","","","","","","","","HTRA","","R007","HTRA15","","R003","HTRA20","","R007","HTRA30","","R003","","","","","","","HITL","","R010","HITL10","","R004","HITL15","","R004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAGR;HTRA;HITL","HAGR20;HAGR30;HTRA15;HTRA20;HTRA30;HITL10;HITL15"
21758,475052,"FL","H","AR","02","","French","Hill","","Rep.","","US Representative","HFIN","","R023","HFIN05","","R010","HFIN20","","R007","HFIN30","","R009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HFIN","HFIN05;HFIN20;HFIN30"
21761,439739,"FL","H","AS","01","","Aumua","Radewagen","Amata Coleman","Del.","","US Representative","HNRES","","R018","HNRES15","","R006","HNRES20","","R005","","","","","","","","","","HSMA","","R005","HSMA05","","R004","HSMA20","CHM","R001","","","","","","","","","","HVET","","R005","HVET05","","R003","HVET15","","R003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HNRES;HSMA;HVET","HNRES15;HNRES20;HSMA05;HSMA20;HVET05;HVET15"
21763,283933,"FL","H","AZ","04","","Paul","Gosar","A.","Rep.","","US Representative","HOGOV","","R007","HOGOV25","","R001","HOGOV30","","R005","","","","","","","","","","HNRES","","R009","HNRES05","CHM","R001","HNRES25","","R005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HOGOV;HNRES","HOGOV25;HOGOV30;HNRES05;HNRES25"
21765,211719,"FL","H","AZ","03","","Raul","Grijalva","M.","Rep.","","US Representative","HNRES","RMM","D001","HNRES05","EXO","D010","HNRES10","EXO","D008","HNRES15","EXO","D007","HNRES20","EXO","D006","HNRES25","EXO","D009","HEDU","","D004","HEDU05","","D002","HEDU25","","D002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HNRES;HEDU","HNRES05;HNRES10;HNRES15;HNRES20;HNRES25;HEDU05;HEDU25"
21766,267627,"FL","H","AZ","08","","Debbie","Lesko","","Rep.","","US Representative","HHLS","","R018","HHLS20","","R005","HHLS30","","R005","","","","","","","","","","HSST","","R021","HSST10","","R010","HSST20","","R008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HHLS;HSST","HHLS20;HHLS30;HSST10;HSST20"
21767,212155,"FL","H","AZ","05","","Andy","Biggs","","Rep.","","US Representative","HJUD","","R020","HJUD10","","R012","HJUD20","","R008","","","","","","","","","","HSST","","R016","HSST10","CHM","R001","HSST25","","R011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HJUD;HSST","HJUD10;HJUD20;HSST10;HSST25"
21768,211738,"FL","H","CA","01","","Doug","LaMalfa","","Rep.","","US Representative","HAGR","","R013","HAGR10","","R004","HAGR15","","R004","","","","","","","","","","HTRA","","R026","HTRA05","","R018","HTRA20","","R022","HTRA30","","R016","","","","","","","HNRES","","R012","HNRES15","CHM","R001","HNRES25","","R006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAGR;HTRA;HNRES","HAGR10;HAGR15;HTRA05;HTRA20;HTRA30;HNRES15;HNRES25"
21769,248432,"FL","H","CA","02","","Jared","Huffman","W.","Rep.","","US Representative","HTRA","","D020","HTRA10","","D004","HTRA20","","D008","HTRA30","","D004","","","","","","","HNRES","VRM","D002","HNRES05","","D005","HNRES20","","D003","HNRES25","RMM","D001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HTRA;HNRES","HTRA10;HTRA20;HTRA30;HNRES05;HNRES20;HNRES25"
21770,240331,"FL","H","CA","03","","John","Garamendi","R.","Rep.","","US Representative","HARM","","D011","HARM25","","D005","HARM30","","D004","","","","","","","","","","HTRA","","D012","HTRA10","RMM","D001","HTRA25","","D006","HTRA30","","D007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HARM;HTRA","HARM25;HARM30;HTRA10;HTRA25;HTRA30"
