"UID","PID","LEGTYPE","CHAMBER","STATECODE","DISTRICT","DISTRAIL","FIRSTNAME","LASTNAME","MIDNAME","PREFIX","GENSUFFIX","TITLE","COMCODE1","COMOFFC1","COMRANK1","SUBCODE11","SUBCOMOFF11","SUBRANK11","SUBCODE12","SUBCOMOFF12","SUBRANK12","SUBCODE13","SUBCOMOFF13","SUBRANK13","SUBCODE14","SUBCOMOFF14","SUBRANK14","SUBCODE15","SUBCOMOFF15","SUBRANK15","COMCODE2","COMOFFC2","COMRANK2","SUBCODE21","SUBCOMOFF21","SUBRANK21","SUBCODE22","SUBCOMOFF22","SUBRANK22","SUBCODE23","SUBCOMOFF23","SUBRANK23","SUBCODE24","SUBCOMOFF24","SUBRANK24","SUBCODE25","SUBCOMOFF25","SUBRANK25","COMCODE3","COMOFFC3","COMRANK3","SUBCODE31","SUBCOMOFF31","SUBRANK31","SUBCODE32","SUBCOMOFF32","SUBRANK32","SUBCODE33","SUBCOMOFF33","SUBRANK33","SUBCODE34","SUBCOMOFF34","SUBRANK34","SUBCODE35","SUBCOMOFF35","SUBRANK35","COMCODE4","COMOFFC4","COMRANK4","SUBCODE41","SUBCOMOFF41","SUBRANK41","SUBCODE42","SUBCOMOFF42","SUBRANK42","SUBCODE43","SUBCOMOFF43","SUBRANK43","SUBCODE44","SUBCOMOFF44","SUBRANK44","SUBCODE45","SUBCOMOFF45","SUBRANK45","COMCODE5","COMOFFC5","COMRANK5","SUBCODE51","SUBCOMOFF51","SUBRANK51","SUBCODE52","SUBCOMOFF52","SUBRANK52","SUBCODE53","SUBCOMOFF53","SUBRANK53","SUBCODE54","SUBCOMOFF54","SUBRANK54","SUBCODE55","SUBCOMOFF55","SUBRANK55","COMCODE6","COMOFFC6","COMRANK6","COMCODE7","COMOFFC7","COMRANK7","COMCODE8","COMOFFC8","COMRANK8","COMCODE9","COMOFFC9","COMRANK9","CUMCOMCODE","CUMSUBCODE"
21867,286515,"FL","H","GA","07","","Rob","Woodall","","Rep.","III","US Representative","HTRA","","R017","HTRA05","","R015","HTRA20","","R015","HTRA30","","R009","","","","","","","HRUL","","R003","HRUL05","CHM","R001","","","","","","","","","","","","","HBUD","","R007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HTRA;HRUL;HBUD","HTRA05;HTRA20;HTRA30;HRUL05"
21869,193912,"FL","H","HI","01","","Colleen","Hanabusa","W.","Rep.","","US Representative","HARM","","D018","HARM25","","D008","HARM30","","D007","","","","","","","","","","HNRES","","D011","HNRES10","RMM","D001","HNRES15","","D005","","","","","","","","","","HSST","","D016","HSST10","","D002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HARM;HNRES;HSST","HARM25;HARM30;HNRES10;HNRES15;HSST10"
21871,248296,"FL","H","IA","02","","Dave","Loebsack","W.","Rep.","","US Representative","HCOM","","D018","HCOM05","","D004","HCOM15","","D010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HCOM","HCOM05;HCOM15"
21872,378476,"FL","H","IA","01","","Rodney","Blum","L.","Rep.","","US Representative","HOGOV","","R015","HOGOV05","","R008","","","","","","","","","","","","","HSMA","","R008","HSMA05","CHM","R001","HSMA25","","R002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HOGOV;HSMA","HOGOV05;HSMA05;HSMA25"
21873,236278,"FL","H","IA","03","","David","Young","E.","Rep.","","US Representative","HAPP","","R024","HAPP05","","R006","HAPP25","","R006","HAPP60","","R004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAPP","HAPP05;HAPP25;HAPP60"
21875,193968,"FL","H","IA","04","","Steve","King","A.","Rep.","","US Representative","HAGR","","R005","HAGR25","","R003","HAGR30","","R002","","","","","","","","","","HJUD","","R006","HJUD05","CHM","R001","HJUD20","","R005","","","","","","","","","","HSMA","","R003","HSMA05","","R002","HSMA10","","R003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAGR;HJUD;HSMA","HAGR25;HAGR30;HJUD05;HJUD20;HSMA05;HSMA10"
21877,158827,"FL","H","ID","02","","Mike","Simpson","K.","Rep.","","US Representative","HAPP","","R005","HAPP20","CHM","R001","HAPP35","","R003","HAPP40","","R003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAPP","HAPP20;HAPP35;HAPP40"
21878,158828,"FL","H","IL","01","","Bobby","Rush","L.","Rep.","","US Representative","HCOM","","D002","HCOM05","","D007","HCOM15","RMM","D001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HCOM","HCOM05;HCOM15"
21879,212680,"FL","H","IL","02","","Robin","Kelly","L.","Rep.","","US Representative","HFOR","","D014","HFOR15","","D006","HFOR30","","D003","","","","","","","","","","HOGOV","","D008","HOGOV10","","D004","HOGOV15","RMM","D001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HFOR;HOGOV","HFOR15;HFOR30;HOGOV10;HOGOV15"
21880,226508,"FL","H","IL","03","","Daniel","Lipinski","W.","Rep.","","US Representative","HTRA","","D009","HTRA05","","D003","HTRA20","","D016","HTRA25","","D013","","","","","","","HSST","","D004","HSST05","","D003","HSST20","RMM","D001","HSST25","","D005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HTRA;HSST","HTRA05;HTRA20;HTRA25;HSST05;HSST20;HSST25"
21881,158831,"FL","H","IL","04","","Luis","Gutierrez","V.","Rep.","","US Representative","HJUD","","D008","HJUD20","","D002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HJUD","HJUD20"
21883,208702,"FL","H","IL","06","","Peter","Roskam","J.","Rep.","","US Representative","HWAY","","R005","HWAY05","CHM","R001","HWAY25","","R002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HWAY","HWAY05;HWAY25"
21884,158834,"FL","H","IL","07","","Danny","Davis","K.","Rep.","","US Representative","HWAY","","D011","HWAY10","RMM","D001","HWAY30","","D005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HWAY","HWAY10;HWAY30"
21885,385662,"FL","H","IL","08","","Raja","Krishnamoorthi","","Rep.","","US Representative","HOGOV","","D011","HOGOV10","RMM","D001","HOGOV15","","D005","","","","","","","","","","HEDU","","D015","HEDU20","","D005","HEDU25","","D006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HOGOV;HEDU","HOGOV10;HOGOV15;HEDU20;HEDU25"
21886,158836,"FL","H","IL","09","","Jan","Schakowsky","D.","Rep.","","US Representative","HCOM","","D008","HCOM10","RMM","D001","HCOM25","","D003","HCOM30","","D002","","","","","","","HBUD","","D014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HCOM;HBUD","HCOM10;HCOM25;HCOM30"
21888,263138,"FL","H","IL","11","","Bill","Foster","","Rep.","","US Representative","HFIN","","D017","HFIN05","","D007","HFIN20","","D003","HFIN30","","D004","","","","","","","HSST","","D015","HSST05","","D007","HSST25","","D009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HFIN;HSST","HFIN05;HFIN20;HFIN30;HSST05;HSST25"
21889,194400,"FL","H","IL","12","","Mike","Bost","","Rep.","","US Representative","HAGR","","R017","HAGR15","","R006","HAGR20","","R008","","","","","","","","","","HTRA","","R024","HTRA15","","R005","HTRA20","","R021","HTRA30","","R014","","","","","","","HVET","","R006","HVET05","CHM","R001","HVET20","","R002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAGR;HTRA;HVET","HAGR15;HAGR20;HTRA15;HTRA20;HTRA30;HVET05;HVET20"
21890,160440,"FL","H","IL","13","","Rodney","Davis","L.","Rep.","","US Representative","HAGR","","R014","HAGR05","CHM","R001","HAGR10","","R005","HAGR30","","R006","","","","","","","HTRA","","R015","HTRA05","","R013","HTRA20","","R014","HTRA30","","R007","","","","","","","HCMS","CHM","R001","","","","","","","","","","","","","","","","HHOS","VCH","R002","","","","","","","","","","","","","","","","JPRI","VCH","R004","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAGR;HTRA;HCMS;HHOS;JPRI","HAGR05;HAGR10;HAGR30;HTRA05;HTRA20;HTRA30"
21891,194314,"FL","H","IL","14","","Randy","Hultgren","M.","Rep.","","US Representative","HFIN","","R012","HFIN05","VCH","R002","HFIN15","","R008","","","","","","","","","","HSST","","R005","HSST05","","R006","HSST20","","R004","HSST25","","R005","","","","","","","JCHI","","R008","","","","","","","","","","","","","","","","JEUR","","R009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HFIN;HSST;JCHI;JEUR","HFIN05;HFIN15;HSST05;HSST20;HSST25"
21893,284452,"FL","H","IL","16","","Adam","Kinzinger","D.","Rep.","","US Representative","HCOM","","R015","HCOM05","","R008","HCOM10","VCH","R002","HCOM15","","R008","","","","","","","HFOR","","R017","HFOR10","","R007","HFOR20","","R006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HCOM;HFOR","HCOM05;HCOM10;HCOM15;HFOR10;HFOR20"
21894,378493,"FL","H","IL","17","","Cheri","Bustos","L.","Rep.","","US Representative","HAGR","","D011","HAGR20","","D003","HAGR25","","D003","","","","","","","","","","HTRA","","D019","HTRA05","","D005","HTRA20","","D019","HTRA25","","D010","HTRA30","","D011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAGR;HTRA","HAGR20;HAGR25;HTRA05;HTRA20;HTRA25;HTRA30"
21895,333096,"FL","H","IL","18","","Darin","LaHood","M.","Rep.","","US Representative","HWAY","","R023","HWAY10","","R005","HWAY15","","R005","HWAY20","","R007","","","","","","","JECO","","R004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HWAY;JECO","HWAY10;HWAY15;HWAY20"
21898,158848,"FL","H","IN","01","","Pete","Visclosky","J.","Rep.","","US Representative","HAPP","","D004","HAPP15","RMM","D001","HAPP20","","D002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAPP","HAPP15;HAPP20"
21901,291462,"FL","H","IN","03","","Jim","Banks","E.","Rep.","","US Representative","HARM","","R030","HARM15","","R004","HARM35","","R010","","","","","","","","","","HEDU","","R023","HEDU10","","R012","HEDU20","","R013","","","","","","","","","","HVET","","R012","HVET05","","R005","HVET10","","R003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HARM;HEDU;HVET","HARM15;HARM35;HEDU10;HEDU20;HVET05;HVET10"
21902,218889,"FL","H","IN","04","","Todd","Rokita","E.","Rep.","","US Representative","HTRA","","R018","HTRA05","","R016","HTRA25","","R010","HTRA30","","R010","","","","","","","HEDU","","R008","HEDU05","CHM","R001","HEDU10","","R004","","","","","","","","","","HBUD","VCH","R002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HTRA;HEDU;HBUD","HTRA05;HTRA25;HTRA30;HEDU05;HEDU10"
21903,378487,"FL","H","IN","05","","Susan","Brooks","W.","Rep.","","US Representative","HCOM","","R022","HCOM05","","R013","HCOM25","","R014","HCOM30","","R005","","","","","","","HETH","CHM","R001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HCOM;HETH","HCOM05;HCOM25;HCOM30"
21905,284631,"FL","H","IN","08","","Larry","Bucshon","D.","Rep.","","US Representative","HCOM","","R020","HCOM10","","R009","HCOM15","","R012","HCOM25","","R013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HCOM","HCOM10;HCOM15;HCOM25"
21988,196515,"FL","H","NC","05","","Virginia","Foxx","A.","Rep.","","US Representative","HOGOV","","R009","HOGOV20","","R005","HOGOV30","","R006","","","","","","","","","","HEDU","CHM","R001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HOGOV;HEDU","HOGOV20;HOGOV30"
21989,462217,"FL","H","NC","06","","Mark","Walker","","Rep.","","US Representative","HOGOV","","R014","HOGOV10","","R002","HOGOV20","","R007","","","","","","","","","","HHOS","","R004","","","","","","","","","","","","","","","","JPRI","","R006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HOGOV;HHOS;JPRI","HOGOV10;HOGOV20"
21990,164497,"FL","H","NC","07","","David","Rouzer","C.","Rep.","","US Representative","HAGR","","R018","HAGR05","","R005","HAGR25","CHM","R001","HAGR30","","R008","","","","","","","HTRA","","R023","HTRA10","","R006","HTRA20","","R020","HTRA30","","R013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAGR;HTRA","HAGR05;HAGR25;HAGR30;HTRA10;HTRA20;HTRA30"
21991,161542,"FL","H","NC","08","","Richard","Hudson","L.","Rep.","Jr.","US Representative","HCOM","","R024","HCOM15","","R015","HCOM20","","R009","HCOM25","","R016","","","","","","","JEUR","","R010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HCOM;JEUR","HCOM15;HCOM20;HCOM25"
21992,212024,"FL","H","NC","09","","Robert","Pittenger","M.","Rep.","","US Representative","HFIN","","R014","HFIN10","","R007","HFIN20","","R005","HFIN30","VCH","R002","","","","","","","JCHI","","R007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HFIN;JCHI","HFIN10;HFIN20;HFIN30"
21993,212009,"FL","H","NC","10","","Patrick","McHenry","T.","Rep.","","US Representative","HFIN","VCH","R002","HFIN05","","R004","HFIN25","","R004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HFIN","HFIN05;HFIN25"
21994,378689,"FL","H","NC","11","","Mark","Meadows","R.","Rep.","","US Representative","HFOR","","R015","HFOR05","","R002","HFOR20","","R005","","","","","","","","","","HOGOV","","R011","HOGOV05","CHM","R001","HOGOV10","","R006","","","","","","","","","","HTRA","","R013","HTRA05","","R011","HTRA20","","R012","HTRA25","","R007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HFOR;HOGOV;HTRA","HFOR05;HFOR20;HOGOV05;HOGOV10;HTRA05;HTRA20;HTRA25"
21995,196595,"FL","H","NC","12","","Alma","Adams","S.","Rep.","","US Representative","HAGR","","D014","HAGR30","","D002","","","","","","","","","","","","","HSMA","","D007","HSMA25","RMM","D001","","","","","","","","","","","","","HEDU","","D011","HEDU20","","D003","HEDU25","","D003","","","","","","","","","","JECO","","D003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAGR;HSMA;HEDU;JECO","HAGR30;HSMA25;HEDU20;HEDU25"
21996,240471,"FL","H","ND","01","","Kevin","Cramer","J.","Rep.","","US Representative","HCOM","","R026","HCOM05","","R015","HCOM15","","R016","HCOM20","","R010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HCOM","HCOM05;HCOM15;HCOM20"
21998,346086,"FL","H","NE","02","","Don","Bacon","J.","Rep.","","US Representative","HARM","","R029","HARM10","","R004","HARM35","","R009","","","","","","","","","","HAGR","","R023","HAGR05","","R006","HAGR20","","R010","","","","","","","","","","HHLS","","R017","HHLS05","","R007","HHLS15","","R006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HARM;HAGR;HHLS","HARM10;HARM35;HAGR05;HAGR20;HHLS05;HHLS15"
22001,284835,"FL","H","NH","02","","Ann","Kuster","McLane","Rep.","","US Representative","HAGR","","D009","HAGR10","","D003","HAGR15","","D003","","","","","","","","","","HVET","","D004","HVET15","","D003","HVET20","RMM","D001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAGR;HVET","HAGR10;HAGR15;HVET15;HVET20"
22002,282657,"FL","H","NJ","01","","Donald","Norcross","W.","Rep.","","US Representative","HARM","","D015","HARM25","","D006","HARM30","","D006","","","","","","","","","","HEDU","","D013","HEDU10","","D003","HEDU25","","D005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HARM;HEDU","HARM25;HARM30;HEDU10;HEDU25"
22003,158953,"FL","H","NJ","02","","Frank","LoBiondo","A.","Rep.","","US Representative","HARM","","R004","HARM05","","R006","HARM35","","R003","","","","","","","","","","HTRA","","R004","HTRA05","CHM","R001","HTRA10","","R004","HTRA20","","R005","","","","","","","HITL","","R004","HITL05","CHM","R001","HITL15","","R002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HARM;HTRA;HITL","HARM05;HARM35;HTRA05;HTRA10;HTRA20;HITL05;HITL15"
22004,489167,"FL","H","NJ","03","","Thomas","MacArthur","","Rep.","","US Representative","HFIN","","R029","HFIN05","","R013","HFIN15","","R012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HFIN","HFIN05;HFIN15"
22005,158955,"FL","H","NJ","04","","Chris","Smith","H.","Rep.","","US Representative","HFOR","","R003","HFOR05","CHM","R001","HFOR30","","R002","","","","","","","","","","JCHI","CCH","R006","","","","","","","","","","","","","","","","JEUR","CCH","R006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HFOR;JCHI;JEUR","HFOR05;HFOR30"
22007,158957,"FL","H","NJ","06","","Frank","Pallone","J.","Rep.","Jr.","US Representative","HCOM","RMM","D001","HCOM05","EXO","D013","HCOM10","EXO","D010","HCOM15","EXO","D014","HCOM20","EXO","D010","HCOM25","EXO","D014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HCOM","HCOM05;HCOM10;HCOM15;HCOM20;HCOM25"
22009,197402,"FL","H","NJ","08","","Albio","Sires","","Rep.","","US Representative","HFOR","","D005","HFOR15","","D003","HFOR30","RMM","D001","","","","","","","","","","HTRA","","D011","HTRA15","","D004","HTRA20","","D003","HTRA25","","D005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HFOR;HTRA","HFOR15;HFOR30;HTRA15;HTRA20;HTRA25"
22010,158959,"FL","H","NJ","09","","Bill","Pascrell","J.","Rep.","Jr.","US Representative","HWAY","","D009","HWAY20","","D002","HWAY30","RMM","D001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HWAY","HWAY20;HWAY30"
22011,409583,"FL","H","NJ","10","","Donald","Payne","M.","Rep.","Jr.","US Representative","HHLS","","D007","HHLS20","RMM","D001","HHLS30","","D003","","","","","","","","","","HTRA","","D023","HTRA05","","D010","HTRA20","","D021","HTRA25","","D002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HHLS;HTRA","HHLS20;HHLS30;HTRA05;HTRA20;HTRA25"
22012,158962,"FL","H","NJ","11","","Rodney","Frelinghuysen","P.","Rep.","","US Representative","HAPP","CHM","R001","HAPP05","EXO","R008","HAPP10","EXO","R008","HAPP15","EXO","R011","HAPP20","EXO","R009","HAPP25","EXO","R008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAPP","HAPP05;HAPP10;HAPP15;HAPP20;HAPP25"
22013,362925,"FL","H","NJ","12","","Bonnie","Watson Coleman","","Rep.","","US Representative","HHLS","VRM","D002","HHLS20","","D003","HHLS30","RMM","D001","","","","","","","","","","HOGOV","","D010","HOGOV05","","D006","HOGOV10","","D006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HHLS;HOGOV","HHLS20;HHLS30;HOGOV05;HOGOV10"
22015,378591,"FL","H","NM","01","","Michelle","Lujan Grisham","","Rep.","","US Representative","HAGR","","D008","HAGR05","RMM","D001","HAGR30","","D005","","","","","","","","","","HBUD","","D003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAGR;HBUD","HAGR05;HAGR30"
22017,266495,"FL","H","NM","03","","Ben","Lujan","Ray","Rep.","Jr.","US Representative","HCOM","","D015","HCOM10","","D002","HCOM25","","D008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HCOM","HCOM10;HCOM25"
22018,197530,"FL","H","NV","01","","Dina","Titus","","Rep.","","US Representative","HFOR","","D016","HFOR10","","D003","HFOR25","","D004","","","","","","","","","","HTRA","","D016","HTRA05","","D007","HTRA15","RMM","D001","HTRA20","","D005","HTRA30","","D008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HFOR;HTRA","HFOR10;HFOR25;HTRA05;HTRA15;HTRA20;HTRA30"
22019,197540,"FL","H","NV","02","","Mark","Amodei","E.","Rep.","","US Representative","HAPP","","R022","HAPP25","","R004","HAPP35","","R006","HAPP45","VCH","R002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAPP","HAPP25;HAPP35;HAPP45"
22022,462663,"FL","H","NY","03","","Thomas","Suozzi","R.","Rep.","","US Representative","HARM","","D027","HARM15","","D003","HARM35","","D010","","","","","","","","","","HFOR","","D019","HFOR05","","D004","HFOR20","","D008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HARM;HFOR","HARM15;HARM35;HFOR05;HFOR20"
22023,489426,"FL","H","NY","04","","Kathleen","Rice","M.","Rep.","","US Representative","HHLS","","D009","HHLS10","RMM","D001","HHLS25","","D002","","","","","","","","","","HVET","","D006","HVET10","","D004","HVET20","","D002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HHLS;HVET","HHLS10;HHLS25;HVET10;HVET20"
22024,158975,"FL","H","NY","05","","Gregory","Meeks","W.","Rep.","","US Representative","HFIN","","D006","HFIN05","","D008","HFIN10","","D003","HFIN20","","D002","","","","","","","HFOR","","D004","HFOR15","RMM","D001","HFOR30","","D006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HFIN;HFOR","HFIN05;HFIN10;HFIN20;HFOR15;HFOR30"
22025,271828,"FL","H","NY","06","","Grace","Meng","","Rep.","","US Representative","HAPP","","D019","HAPP10","","D004","HAPP55","","D004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAPP","HAPP10;HAPP55"
22026,158981,"FL","H","NY","07","","Nydia","Velazquez","M.","Rep.","","US Representative","HFIN","","D004","HFIN10","","D005","HFIN15","","D002","","","","","","","","","","HNRES","","D018","HNRES05","","D009","HNRES15","","D006","","","","","","","","","","HSMA","RMM","D001","HSMA05","EXO","D003","HSMA10","EXO","D005","HSMA15","EXO","D005","HSMA20","EXO","D003","HSMA25","EXO","D002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HFIN;HNRES;HSMA","HFIN10;HFIN15;HNRES05;HNRES15;HSMA05;HSMA10;HSMA15;HSMA20;HSMA25"
22027,250929,"FL","H","NY","08","","Hakeem","Jeffries","S.","Rep.","","US Representative","HJUD","","D011","HJUD10","","D005","HJUD15","","D005","","","","","","","","","","HBUD","","D005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HJUD;HBUD","HJUD10;HJUD15"
22028,248335,"FL","H","NY","09","","Yvette","Clarke","D.","Rep.","","US Representative","HCOM","","D017","HCOM05","","D003","HCOM10","","D003","HCOM30","","D005","","","","","","","HSMA","","D005","HSMA10","","D002","HSMA15","","D004","","","","","","","","","","HETH","","D002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HCOM;HSMA;HETH","HCOM05;HCOM10;HCOM30;HSMA10;HSMA15"
